13569,0,539122,0,232,1529,1848,3111,2109,2558,3575,3473,3379,2466,21512,25979,3470,3109,6565,4337,5201,9266,15507,19101,16444,23526,22686,28926,26309,42754,61852,63318,105887,225060,2175900,17353,0,0,0,0
13708,0,545275,0,108,974,1043,1834,1196,1594,2495,3134,2592,1913,24583,29821,3136,3223,6754,3958,5029,8424,14723,20198,16454,23044,23668,30110,25438,43258,64056,64032,104199,230014,2163621,17424,0,0,0,0
10857,0,555215,0,804,3734,4229,4432,3504,4199,5405,3789,2939,2752,22042,28029,3760,3665,7493,4388,5665,8773,14703,20261,16277,23158,23675,29444,26553,42914,63083,68801,101666,228676,2136727,19421,0,0,0,0
12036,0,571570,0,105,558,1174,1805,1334,1920,2921,3177,2518,2202,25278,31163,3444,3368,7093,4222,5536,8594,14043,20632,16305,22643,24731,29415,26345,43110,65352,72433,105321,231381,2118596,20708,0,0,0,0
11853,0,606033,0,2859,6812,2828,4509,2092,3338,2760,2658,3411,2349,17093,21271,3000,2994,5798,4237,5171,9015,15871,15965,15793,22647,21440,25180,26843,43343,57135,65493,106911,232813,2111951,19567,0,0,0,0
13287,0,610765,0,130,596,1219,2037,1381,1849,2615,3121,2744,2190,25434,29737,3316,3228,6689,4378,5291,8442,14353,18263,16088,21933,22996,28049,26096,43648,59880,67909,104495,232411,2095753,20710,0,0,0,0
15024,0,618196,0,3601,6039,2438,3814,2419,3293,3296,3238,2673,2447,19225,24247,3686,3552,7422,4614,5986,8675,14106,19557,16129,22635,24208,29336,26844,44771,61863,71991,104080,231881,2066140,23607,0,0,0,0
8374,0,633716,0,2035,4889,5258,7199,4916,7694,7568,5116,3799,4200,19951,26443,5932,5136,9467,6551,8388,11002,14429,21411,17439,24186,26047,30593,29102,48514,62359,78363,101565,230393,2002645,26353,0,0,0,0
4277,0,657770,0,2915,6333,3593,5148,3257,4649,4171,3420,2875,3100,19896,25788,4496,4244,8100,5452,7037,9207,13585,20626,16198,22514,24996,29052,27859,45233,63424,82315,103688,233366,2003791,28658,0,0,0,0
3537,0,702201,0,6,109,1157,2535,1370,2367,3225,4401,3937,3763,31335,36282,4976,3573,6786,5203,6693,9324,16460,20022,17420,23417,26378,28417,27059,44155,63023,68334,117428,225426,1965746,24968,0,0,0,0
4343,0,708830,0,169,1875,3580,4321,3274,4546,5976,5324,4515,5151,28443,35863,7033,4724,8781,6364,8534,10458,15958,22445,18142,24536,27428,29971,29531,45874,62372,74868,110619,222050,1927319,27816,0,0,0,0
